iter	Passed	Remaining
634	1318	757
635	1319	755
636	1321	753
637	1323	750
638	1325	748
639	1327	746
640	1329	744
641	1331	742
642	1333	740
643	1335	738
644	1337	735
645	1339	733
646	1341	731
647	1343	729
648	1346	727
649	1347	725
650	1349	723
651	1351	721
652	1353	719
653	1355	717
654	1357	714
655	1359	713
656	1361	710
657	1363	708
658	1365	706
659	1367	704
660	1369	702
661	1370	699
662	1372	697
663	1375	695
664	1377	693
665	1379	691
666	1381	689
667	1383	687
668	1384	685
669	1386	683
670	1388	680
671	1391	678
672	1392	676
673	1394	674
674	1396	672
675	1398	670
676	1400	668
677	1402	665
678	1404	663
679	1406	662
680	1409	660
681	1410	657
682	1413	655
683	1414	653
684	1416	651
685	1418	649
686	1420	647
687	1422	645
688	1425	643
689	1427	641
690	1429	639
691	1431	637
692	1433	634
693	1435	632
694	1437	630
695	1439	628
696	1441	626
697	1443	624
698	1444	622
699	1446	620
700	1448	617
701	1450	615
702	1452	613
703	1454	611
704	1457	609
705	1459	607
706	1461	605
707	1463	603
708	1465	601
709	1466	599
710	1468	597
711	1471	595
712	1473	593
713	1475	590
714	1477	588
715	1478	586
716	1480	584
717	1481	581
718	1483	579
719	1485	577
720	1487	575
721	1488	573
722	1490	570
723	1491	568
724	1493	566
725	1494	564
726	1496	561
727	1497	559
728	1499	557
729	1501	555
730	1503	553
731	1505	551
732	1506	548
733	1508	546
734	1509	544
735	1511	542
736	1512	539
737	1514	537
738	1515	535
739	1517	533
740	1519	531
741	1520	528
742	1522	526
743	1523	524
744	1525	522
745	1527	519
746	1528	517
747	1530	515
748	1531	513
749	1533	511
750	1535	509
751	1537	506
752	1538	504
753	1540	502
754	1541	500
755	1543	498
756	1544	495
757	1546	493
758	1548	491
759	1550	489
760	1551	487
761	1553	485
762	1554	482
763	1556	480
764	1557	478
765	1559	476
766	1560	474
767	1562	471
768	1564	469
769	1565	467
770	1567	465
771	1568	463
772	1570	461
773	1571	458
774	1573	456
775	1574	454
776	1576	452
777	1577	450
778	1579	448
779	1581	445
780	1582	443
781	1584	441
782	1585	439
783	1587	437
784	1588	435
785	1590	433
786	1591	430
787	1593	428
788	1595	426
789	1596	424
790	1598	422
791	1599	420
792	1601	417
793	1602	415
794	1604	413
795	1605	411
796	1607	409
797	1608	407
798	1610	405
799	1612	403
800	1613	400
801	1615	398
802	1616	396
803	1618	394
804	1619	392
805	1620	390
806	1622	388
807	1624	385
808	1625	383
809	1628	381
810	1629	379
811	1631	377
812	1632	375
813	1634	373
814	1635	371
815	1637	369
816	1638	367
817	1640	365
818	1642	362
819	1644	360
820	1645	358
821	1647	356
822	1648	354
823	1650	352
824	1651	350
825	1653	348
826	1654	346
827	1656	344
828	1658	342
829	1659	339
830	1661	337
831	1663	335
832	1664	333
833	1666	331
834	1667	329
835	1669	327
836	1670	325
837	1672	323
838	1673	321
839	1675	319
840	1677	317
841	1678	314
842	1680	312
843	1681	310
844	1683	308
845	1684	306
846	1686	304
847	1687	302
848	1689	300
849	1691	298
850	1692	296
851	1694	294
852	1695	292
853	1697	290
854	1698	288
855	1700	286
856	1701	283
857	1703	281
858	1704	279
859	1706	277
860	1708	275
861	1709	273
862	1711	271
863	1713	269
864	1715	267
865	1716	265
866	1718	263
867	1720	261
868	1722	259
869	1724	257
870	1726	255
871	1728	253
872	1730	251
873	1732	249
874	1733	247
875	1735	245
876	1737	243
877	1739	241
878	1742	239
879	1744	237
880	1746	235
881	1748	233
882	1750	231
883	1752	229
884	1754	228
885	1756	226
886	1758	224
887	1760	222
888	1762	220
889	1764	218
890	1766	216
891	1768	214
892	1770	212
893	1772	210
894	1774	208
895	1776	206
896	1778	204
897	1780	202
898	1782	200
899	1784	198
900	1786	196
901	1788	194
902	1790	192
903	1792	190
904	1794	188
905	1795	186
906	1797	184
907	1799	182
908	1801	180
909	1804	178
910	1806	176
911	1808	174
912	1809	172
913	1811	170
914	1813	168
915	1815	166
916	1817	164
917	1819	162
918	1821	160
919	1823	158
920	1825	156
921	1826	154
922	1828	152
923	1830	150
924	1832	148
925	1834	146
926	1836	144
927	1838	142
928	1839	140
929	1841	138
930	1843	136
931	1845	134
932	1847	132
933	1849	130
